city,state,tier,tourism_type,latitude,longitude,best_season,popularity_score,notes,image_url
Port Blair,Andaman and Nicobar Islands,Tier 3,island beach adventure,11.6234,92.7265,winter,8,Useful for premium island itineraries,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/View_from_South_Point%2C_%28Port_Blair%2C_India%29.jpg/330px-View_from_South_Point%2C_%28Port_Blair%2C_India%29.jpg
Panaji,Goa,Tier 3,heritage coastal market,15.4909,73.8278,winter,7,Good city-level anchor for North and South Goa splits,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Panaji_City.JPG/330px-Panaji_City.JPG
Tirupati,Andhra Pradesh,Tier 3,spiritual temple culture,13.6288,79.4192,winter,8,High-volume pilgrimage destination with steady year-round demand,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Tirumala_090615.jpg/330px-Tirumala_090615.jpg
Varkala,Kerala,Tier 3,beach cliff wellness,8.7379,76.7163,winter,7,Popular coastal destination for domestic and foreign travelers,https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Varkala_Beach%2C_Varkala%2C_Kerala.jpg/330px-Varkala_Beach%2C_Varkala%2C_Kerala.jpg
Mahabalipuram,Tamil Nadu,Tier 3,heritage coastal culture,12.6269,80.1927,winter,7,Strong heritage plus coastal tourism near Chennai,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/A_collage_of_Mamallapuram_town_Tamil_Nadu_India.jpg/330px-A_collage_of_Mamallapuram_town_Tamil_Nadu_India.jpg
Mount Abu,Rajasthan,Tier 3,hill station lake nature,24.5926,72.7156,winter,6,Only major hill station in Rajasthan with family tourism appeal,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Mount_Abu.jpg/330px-Mount_Abu.jpg
Ajmer,Rajasthan,Tier 3,spiritual heritage culture,26.4499,74.6399,winter,7,Important pilgrimage and heritage stop often paired with Pushkar,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/ADHAI_DIN_KA_JHONPRA.jpg/330px-ADHAI_DIN_KA_JHONPRA.jpg
Orchha,Madhya Pradesh,Tier 3,heritage palace fort,25.3510,78.6400,winter,6,Compact heritage destination suited for curated cultural itineraries,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Chaturbhuj_Temple%2C_Orchha.jpg/330px-Chaturbhuj_Temple%2C_Orchha.jpg
McLeod Ganj,Himachal Pradesh,Tier 3,mountains spiritual culture,32.2426,76.3219,summer,7,Popular among foreign travelers for Tibetan culture and hill views,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/McLeod_Ganj_Dharamkot_Dharmsala_Himachal_Pradesh_India_April_2014.jpg/330px-McLeod_Ganj_Dharamkot_Dharmsala_Himachal_Pradesh_India_April_2014.jpg
Kanyakumari,Tamil Nadu,Tier 3,coastal spiritual viewpoint,8.0883,77.5385,winter,7,Distinct southern tip destination with sunrise and cultural appeal,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/Vivekananda_Rock_Memorial%2C_Kanyakumari.jpg/330px-Vivekananda_Rock_Memorial%2C_Kanyakumari.jpg
Ujjain,Madhya Pradesh,Tier 3,spiritual heritage culture,23.1765,75.7885,winter,7,Strong religious tourism city with festival significance,https://upload.wikimedia.org/wikipedia/commons/thumb/7/75/Mahakaleshwar_Temple%2C_Ujjain.jpg/330px-Mahakaleshwar_Temple%2C_Ujjain.jpg
Kozhikode,Kerala,Tier 3,coastal food heritage,11.2588,75.7804,winter,6,Useful North Kerala city anchor with food and beach tourism value,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Kozhikode_beach_kites.jpg/330px-Kozhikode_beach_kites.jpg
Vadodara,Gujarat,Tier 3,culture food relaxed,22.3072,73.1812,winter,7,Rich cultural heritage with palaces and authentic Gujarati cuisine,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/LakshmiVilas_Palace.jpg/330px-LakshmiVilas_Palace.jpg
