id,name,city,state,price_per_night,hotel_type,rating,latitude,longitude,budget_category,nearby_area,popularity_score,tags,image_url
H011,Pink City Heritage House - City Palace,Jaipur,Rajasthan,3600,boutique,4.4,26.9251,75.8242,moderate,City Palace,84,"wifi, cafe, room service, parking, local decor, heritage decor",https://upload.wikimedia.org/wikipedia/commons/a/a4/Chandra_Mahal%2C_City_Palace%2C_Jaipur%2C_20191218_0951_9043.jpg
H012,Hawa Mahal View Inn - Hawa Mahal,Jaipur,Rajasthan,4200,standard,4.4,26.9242,75.8269,moderate,Hawa Mahal,82,"wifi, ac, breakfast, room service, parking, heritage decor",https://upload.wikimedia.org/wikipedia/commons/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg
H013,Amber Fort Residency - Amber Fort Road,Jaipur,Rajasthan,5100,standard,4.5,26.9849,75.8506,moderate,Amber Fort Road,80,"wifi, ac, breakfast, room service, parking, heritage decor",https://upload.wikimedia.org/wikipedia/commons/f/fb/20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg
H014,Nahargarh Ridge Retreat - Nahargarh Foothills,Jaipur,Rajasthan,6800,resort,4.6,26.9372,75.8159,high,Nahargarh Foothills,86,"pool, spa, bar, restaurant, garden, indoor games, heritage decor",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Suvela_machi%2CRajgad_fort%2C_Maharashtra%2CIndia_July2015.jpg/3840px-Suvela_machi%2CRajgad_fort%2C_Maharashtra%2CIndia_July2015.jpg
H015,Royal Haveli Jaipur - Old City,Jaipur,Rajasthan,8200,premium,4.7,26.9261,75.8235,high,Old City,91,"wifi, pool, restaurant, room service, parking, heritage decor",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg/1920px-East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg
H016,Albert Hall Garden Hotel - Ram Niwas Garden,Jaipur,Rajasthan,3300,standard,4.3,26.9126,75.8201,moderate,Ram Niwas Garden,75,"wifi, ac, breakfast, room service, parking, heritage decor",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg/1920px-East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg
H017,Patrika Urban Stay - Jawahar Circle,Jaipur,Rajasthan,2900,budget,4.1,26.8513,75.8052,low,Jawahar Circle,70,"wifi, ac, breakfast, parking, heritage decor",https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Patrika_Gate_Jawahar_Circle_Jaipur_2022-07.jpg/3840px-Patrika_Gate_Jawahar_Circle_Jaipur_2022-07.jpg
H018,Jaigarh Palace Resort - Jaigarh Hills,Jaipur,Rajasthan,9500,luxury,4.8,26.9854,75.8497,premium,Jaigarh Hills,89,"spa, pool, bar, restaurant, gym, room service, heritage decor",https://upload.wikimedia.org/wikipedia/commons/3/34/Rajasthan-Jaipur-Jaigarh-Fort-compound-Apr-2004-00.JPG
H019,Lake Pichola View Stay - Lake Pichola,Udaipur,Rajasthan,3400,standard,4.4,24.5759,73.6813,moderate,Lake Pichola,84,"wifi, ac, breakfast, room service, parking, lake views",https://upload.wikimedia.org/wikipedia/commons/d/d2/Udaipur_Lake_India.JPG
H020,Old City Haveli Udaipur - Gangaur Ghat,Udaipur,Rajasthan,3900,boutique,4.5,24.579,73.6833,moderate,Gangaur Ghat,86,"wifi, cafe, room service, parking, local decor, lake views, river views",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Evening_view%2C_City_Palace%2C_Udaipur.jpg/1920px-Evening_view%2C_City_Palace%2C_Udaipur.jpg
H021,City Palace Residency - City Palace Area,Udaipur,Rajasthan,5200,standard,4.5,24.5769,73.6838,moderate,City Palace Area,83,"wifi, ac, breakfast, room service, parking, lake views, heritage decor",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Udaipur_City_Palace.jpg/1920px-Udaipur_City_Palace.jpg
H022,Fateh Sagar Lakefront Hotel - Fateh Sagar,Udaipur,Rajasthan,6100,premium,4.6,24.6018,73.678,high,Fateh Sagar,87,"wifi, pool, restaurant, room service, parking, lake views",https://upload.wikimedia.org/wikipedia/commons/5/50/Fatehsagar_nehrugarden.jpg
H023,Monsoon Palace Hills Resort - Sajjangarh Road,Udaipur,Rajasthan,7800,resort,4.6,24.5929,73.6676,high,Sajjangarh Road,85,"pool, spa, bar, restaurant, garden, indoor games, lake views",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Udaipur_City_Railway_Station_2024_2.jpg/3840px-Udaipur_City_Railway_Station_2024_2.jpg
H024,Saheli Garden Suites - Saheliyon Ki Bari,Udaipur,Rajasthan,4300,boutique,4.4,24.601,73.6866,moderate,Saheliyon Ki Bari,78,"wifi, cafe, room service, parking, local decor, lake views",https://upload.wikimedia.org/wikipedia/commons/8/84/Saheliyon-ki-Bari_Fountain.JPG
H025,Shilpgram Retreat - Shilpgram,Udaipur,Rajasthan,3000,budget,4.2,24.6223,73.6843,low,Shilpgram,71,"wifi, ac, breakfast, parking, lake views",https://upload.wikimedia.org/wikipedia/commons/3/36/Shilpgram_SWM_1.JPG
H026,Royal Lake Palace View - Lake Pichola,Udaipur,Rajasthan,9800,luxury,4.8,24.576,73.6805,premium,Lake Pichola,92,"spa, pool, bar, restaurant, gym, room service, lake views",https://upload.wikimedia.org/wikipedia/commons/d/d2/Udaipur_Lake_India.JPG
H027,Karni Mata Heights - Doodh Talai,Udaipur,Rajasthan,4700,standard,4.3,24.5717,73.6909,moderate,Doodh Talai,74,"wifi, ac, breakfast, room service, parking, lake views",https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/DoodhTalai.jpg/1920px-DoodhTalai.jpg
H028,Chandni Chowk Heritage Stay - Chandni Chowk,Delhi,Delhi,2600,budget,4.1,28.6509,77.2306,low,Chandni Chowk,76,"wifi, ac, breakfast, parking, city access",https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Jama_Masjid_2011.jpg/1920px-Jama_Masjid_2011.jpg
H029,Red Fort Residency - Red Fort Area,Delhi,Delhi,4100,standard,4.3,28.656,77.2407,moderate,Red Fort Area,79,"wifi, ac, breakfast, room service, parking, city access, heritage decor",https://upload.wikimedia.org/wikipedia/commons/2/2a/Delhi_fort.jpg
H030,Connaught Place Central Hotel - Connaught Place,Delhi,Delhi,5900,premium,4.5,28.6317,77.2165,high,Connaught Place,88,"wifi, pool, restaurant, room service, parking, city access",https://upload.wikimedia.org/wikipedia/commons/4/49/Skyline_at_Rajiv_Chowk.JPG
H031,Lutyens Garden Suites - India Gate,Delhi,Delhi,7200,boutique,4.6,28.6128,77.2291,high,India Gate,85,"wifi, cafe, room service, parking, local decor, city access",https://upload.wikimedia.org/wikipedia/commons/0/09/India_Gate_in_New_Delhi_03-2016.jpg
H032,South Delhi Comfort Inn - Kalkaji,Delhi,Delhi,3400,standard,4.2,28.5539,77.2592,moderate,Kalkaji,73,"wifi, ac, breakfast, room service, parking, city access",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e2/Kalkaji-shrine.jpg/1920px-Kalkaji-shrine.jpg
H033,Qutub Heritage Hotel - Mehrauli,Delhi,Delhi,4600,boutique,4.4,28.5247,77.1859,moderate,Mehrauli,80,"wifi, cafe, room service, parking, local decor, city access",https://upload.wikimedia.org/wikipedia/commons/f/f4/Qutub_Minar_%281%29.jpg
H034,Akshardham Family Stay - Akshardham,Delhi,Delhi,3800,standard,4.3,28.6128,77.2776,moderate,Akshardham,77,"wifi, ac, breakfast, room service, parking, city access",https://upload.wikimedia.org/wikipedia/commons/e/e9/Swaminarayan_Akshardham%2C_Delhi.jpg
H035,Lodhi Garden Boutique House - Lodhi Road,Delhi,Delhi,6400,boutique,4.5,28.5932,77.22,high,Lodhi Road,82,"wifi, cafe, room service, parking, local decor, city access",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Lodhi_Road_Delhi.jpg/3840px-Lodhi_Road_Delhi.jpg
H036,Imperial Capital Grand - Central Delhi,Delhi,Delhi,11000,luxury,4.8,28.6298,77.2199,premium,Central Delhi,91,"spa, pool, bar, restaurant, gym, room service, city access",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0b/Delhi_districts.png/960px-Delhi_districts.png
H037,Triveni Riverside Lodge - Triveni Ghat,Rishikesh,Uttarakhand,2100,budget,4.2,30.1087,78.2951,low,Triveni Ghat,79,"wifi, ac, breakfast, parking, river views",https://upload.wikimedia.org/wikipedia/commons/0/08/Triveni_Ghat_Krishna_Arjun_Rath.jpg
H038,Ram Jhula Retreat - Ram Jhula,Rishikesh,Uttarakhand,3200,standard,4.4,30.1214,78.3212,moderate,Ram Jhula,84,"wifi, ac, breakfast, room service, parking, river views",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Ramjhula_-_bridge_over_the_Ganga.jpg/500px-Ramjhula_-_bridge_over_the_Ganga.jpg
H039,Lakshman Jhula View Stay - Lakshman Jhula,Rishikesh,Uttarakhand,3600,boutique,4.4,30.1323,78.3306,moderate,Lakshman Jhula,83,"wifi, cafe, room service, parking, local decor, river views",https://upload.wikimedia.org/wikipedia/commons/7/75/Rishikesh-Lakshman_Jhula_by_Kaustubh_Nayyar.jpg
H040,Parmarth Wellness Ashram Stay - Swarg Ashram,Rishikesh,Uttarakhand,2900,standard,4.5,30.1273,78.3299,low,Swarg Ashram,81,"wifi, ac, breakfast, room service, parking, river views",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Trayambakeshwar_Temple_VK.jpg/3840px-Trayambakeshwar_Temple_VK.jpg
H041,Ganga Cliff Resort - Neer Garh Road,Rishikesh,Uttarakhand,5400,resort,4.6,30.1439,78.3328,high,Neer Garh Road,86,"pool, spa, bar, restaurant, garden, indoor games, river views",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Trayambakeshwar_Temple_VK.jpg/3840px-Trayambakeshwar_Temple_VK.jpg
H042,Beatles Forest Retreat - Tapovan,Rishikesh,Uttarakhand,4300,boutique,4.3,30.1173,78.3259,moderate,Tapovan,75,"wifi, cafe, room service, parking, local decor, river views",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Trayambakeshwar_Temple_VK.jpg/3840px-Trayambakeshwar_Temple_VK.jpg
H043,Shivpuri Rapids Camp - Shivpuri,Rishikesh,Uttarakhand,3900,resort,4.5,30.1208,78.3999,moderate,Shivpuri,88,"pool, spa, bar, restaurant, garden, indoor games, river views",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Trayambakeshwar_Temple_VK.jpg/3840px-Trayambakeshwar_Temple_VK.jpg
H044,Kunjapuri Sunrise Lodge - Kunjapuri Road,Rishikesh,Uttarakhand,4700,standard,4.4,30.1242,78.3639,moderate,Kunjapuri Road,74,"wifi, ac, breakfast, room service, parking, river views",https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/New_tehri.jpg/1920px-New_tehri.jpg
H045,Himalayan Serene Resort - Tapovan Heights,Rishikesh,Uttarakhand,8200,luxury,4.7,30.1301,78.3318,premium,Tapovan Heights,89,"spa, pool, bar, restaurant, gym, room service, river views",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Trayambakeshwar_Temple_VK.jpg/3840px-Trayambakeshwar_Temple_VK.jpg
H046,Cedar Grove Stay - Mall Road,Manali,Himachal Pradesh,2300,budget,4.2,32.2394,77.1885,low,Mall Road,76,"wifi, ac, breakfast, parking, mountain views",https://upload.wikimedia.org/wikipedia/commons/0/03/Manali_City.jpg
H047,Old Manali Pine Lodge - Old Manali,Manali,Himachal Pradesh,3200,boutique,4.4,32.2441,77.1889,moderate,Old Manali,82,"wifi, cafe, room service, parking, local decor, mountain views",https://upload.wikimedia.org/wikipedia/commons/0/03/Manali_City.jpg
H048,Hadimba Forest Retreat - Hadimba Road,Manali,Himachal Pradesh,4100,standard,4.4,32.2433,77.1898,moderate,Hadimba Road,80,"wifi, ac, breakfast, room service, parking, mountain views",https://upload.wikimedia.org/wikipedia/commons/0/03/Manali_City.jpg
H049,Solang Valley Camp and Stay - Solang Valley,Manali,Himachal Pradesh,5200,resort,4.5,32.3174,77.1562,moderate,Solang Valley,86,"pool, spa, bar, restaurant, garden, indoor games, mountain views",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Solang_Valley_%2CManali%2C_Himachal_Pardes%2C_India.JPG/3840px-Solang_Valley_%2CManali%2C_Himachal_Pardes%2C_India.JPG
H050,Vashisht Wellness Inn - Vashisht,Manali,Himachal Pradesh,3600,standard,4.3,32.2528,77.1876,moderate,Vashisht,74,"wifi, ac, breakfast, room service, parking, mountain views",https://upload.wikimedia.org/wikipedia/commons/0/03/Manali_City.jpg
H051,Rohtang View Resort - Nehru Kund Road,Manali,Himachal Pradesh,6900,resort,4.6,32.268,77.1814,high,Nehru Kund Road,85,"pool, spa, bar, restaurant, garden, indoor games, mountain views",https://upload.wikimedia.org/wikipedia/commons/c/c0/Beas_River_at_Kullu%2C_Himachal_Pradesh.jpg
H052,Manu Temple Boutique House - Old Manali Heights,Manali,Himachal Pradesh,4500,boutique,4.5,32.2462,77.1884,moderate,Old Manali Heights,78,"wifi, cafe, room service, parking, local decor, mountain views",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a7/Ultramarine_Flycatcher_Pangot_Uttarakhand_India_04.10.2014.jpg/500px-Ultramarine_Flycatcher_Pangot_Uttarakhand_India_04.10.2014.jpg
H053,Himalayan Crown Manali - Central Manali,Manali,Himachal Pradesh,7900,premium,4.7,32.2401,77.189,high,Central Manali,88,"wifi, pool, restaurant, room service, parking, mountain views",https://upload.wikimedia.org/wikipedia/commons/f/f0/Kullu_Manali_Airport_in_Bhunter_04.jpg
H054,Peakline Grand Resort - Log Huts Area,Manali,Himachal Pradesh,9800,luxury,4.8,32.241,77.19,premium,Log Huts Area,90,"spa, pool, bar, restaurant, gym, room service, mountain views",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/TWC_Haast_heli%E2%80%A2_Stewart_Nimmo_%E2%80%A2_MRD_9079.jpg/3840px-TWC_Haast_heli%E2%80%A2_Stewart_Nimmo_%E2%80%A2_MRD_9079.jpg
H055,Colaba Harbour Stay - Colaba,Mumbai,Maharashtra,3400,budget,4.2,18.9222,72.835,low,Colaba,79,"wifi, ac, breakfast, parking, city access",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg/3840px-%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg
H056,Marine Drive Residency - Marine Drive,Mumbai,Maharashtra,5200,standard,4.4,18.9432,72.8242,moderate,Marine Drive,86,"wifi, ac, breakfast, room service, parking, city access",https://upload.wikimedia.org/wikipedia/commons/7/74/Mumbai_03-2016_27_skyline_at_Marine_Drive.jpg
H057,Gateway Boutique Suites - Gateway of India,Mumbai,Maharashtra,6700,boutique,4.5,18.9224,72.8349,high,Gateway of India,88,"wifi, cafe, room service, parking, local decor, city access",https://upload.wikimedia.org/wikipedia/commons/3/3a/Mumbai_03-2016_30_Gateway_of_India.jpg
H058,Juhu Beach Resort - Juhu,Mumbai,Maharashtra,6100,resort,4.4,19.0993,72.8269,high,Juhu,84,"pool, spa, bar, restaurant, garden, indoor games, city access",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Juhu_beach_%28Arial%29.jpg/1280px-Juhu_beach_%28Arial%29.jpg
H059,Bandra Bay Hotel - Bandra,Mumbai,Maharashtra,4800,standard,4.3,19.0418,72.8173,moderate,Bandra,78,"wifi, ac, breakfast, room service, parking, city access",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Bandra_Worli_Sea_Link_at_night.jpg/1920px-Bandra_Worli_Sea_Link_at_night.jpg
H060,Connex Business Hotel Mumbai - CST District,Mumbai,Maharashtra,3900,standard,4.2,18.9405,72.8359,moderate,CST District,74,"wifi, ac, breakfast, room service, parking, city access",https://upload.wikimedia.org/wikipedia/commons/4/4d/Chhatrapati_shivaji_terminus%2C_esterno_01.jpg
H061,Siddhivinayak Family Stay - Prabhadevi,Mumbai,Maharashtra,3600,budget,4.1,19.0179,72.8303,low,Prabhadevi,71,"wifi, ac, breakfast, parking, city access",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg/3840px-%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg
H062,The Queen's Necklace Grand - Marine Drive,Mumbai,Maharashtra,9400,premium,4.7,18.9434,72.8244,high,Marine Drive,91,"wifi, pool, restaurant, room service, parking, city access",https://upload.wikimedia.org/wikipedia/commons/7/74/Mumbai_03-2016_27_skyline_at_Marine_Drive.jpg
H063,Imperial Arabian Sea Palace - Colaba Waterfront,Mumbai,Maharashtra,12000,luxury,4.8,18.923,72.8352,premium,Colaba Waterfront,93,"spa, pool, bar, restaurant, gym, room service, city access",https://upload.wikimedia.org/wikipedia/commons/3/3a/Mumbai_03-2016_30_Gateway_of_India.jpg
H064,Ghat View Guest House - Dashashwamedh Ghat,Varanasi,Uttar Pradesh,1900,budget,4.1,25.3068,83.0111,low,Dashashwamedh Ghat,78,"wifi, ac, breakfast, parking, ghat access, river views",https://upload.wikimedia.org/wikipedia/commons/a/ad/Dasaswamedh_ghat-varanasi_india-andres_larin.jpg
H065,Kashi Temple Stay - Kashi Vishwanath Corridor,Varanasi,Uttar Pradesh,2800,standard,4.3,25.3113,83.011,low,Kashi Vishwanath Corridor,82,"wifi, ac, breakfast, room service, parking, ghat access",https://upload.wikimedia.org/wikipedia/commons/f/ff/Kashi_Vishwanath.jpg
H066,Assi Riverside Retreat - Assi Ghat,Varanasi,Uttar Pradesh,4200,boutique,4.5,25.2873,83.0057,moderate,Assi Ghat,85,"wifi, cafe, room service, parking, local decor, ghat access, river views",https://upload.wikimedia.org/wikipedia/commons/c/c2/Assi_Ghat_Varanasi_morning_Aarti.jpg
H067,Sarnath Heritage Hotel - Sarnath,Varanasi,Uttar Pradesh,3900,standard,4.3,25.3815,83.0221,moderate,Sarnath,74,"wifi, ac, breakfast, room service, parking, ghat access",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Ancient_Buddhist_monasteries_near_Dhamekh_Stupa_Monument_Site%2C_Sarnath.jpg/1280px-Ancient_Buddhist_monasteries_near_Dhamekh_Stupa_Monument_Site%2C_Sarnath.jpg
H068,Banaras Courtyard Haveli - Old City,Varanasi,Uttar Pradesh,4700,boutique,4.4,25.307,83.01,moderate,Old City,80,"wifi, cafe, room service, parking, local decor, ghat access",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Varanasi%2C_India%2C_Ghats%2C_Cremation_ceremony_in_progress.jpg/1920px-Varanasi%2C_India%2C_Ghats%2C_Cremation_ceremony_in_progress.jpg
H069,Ganga Aarti Residency - Ghat Belt,Varanasi,Uttar Pradesh,5300,premium,4.5,25.3065,83.0112,high,Ghat Belt,87,"wifi, pool, restaurant, room service, parking, ghat access, river views",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/1167_main-ghat-at-bithoor.jpg/960px-1167_main-ghat-at-bithoor.jpg
H070,BHU Garden Inn - BHU Area,Varanasi,Uttar Pradesh,3500,standard,4.2,25.2681,82.9917,moderate,BHU Area,71,"wifi, ac, breakfast, room service, parking, ghat access",https://upload.wikimedia.org/wikipedia/en/thumb/3/36/IIT-BHU_Logo.svg/330px-IIT-BHU_Logo.svg.png
H071,Ramnagar Fort View Resort - Ramnagar,Varanasi,Uttar Pradesh,6200,resort,4.4,25.2711,83.0234,high,Ramnagar,76,"pool, spa, bar, restaurant, garden, indoor games, ghat access",https://upload.wikimedia.org/wikipedia/commons/8/89/Entrance_area_of_Ramnagar_Fort.jpg
H072,Royal Banaras Palace Hotel - Central Ghat Zone,Varanasi,Uttar Pradesh,8900,luxury,4.7,25.308,83.0105,premium,Central Ghat Zone,90,"spa, pool, bar, restaurant, gym, room service, ghat access, river views",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Varanasi%2C_India%2C_Ghats%2C_Cremation_ceremony_in_progress.jpg/1920px-Varanasi%2C_India%2C_Ghats%2C_Cremation_ceremony_in_progress.jpg
H073,Fort Kochi Seaside Stay - Fort Kochi,Kochi,Kerala,2600,budget,4.2,9.9668,76.2386,low,Fort Kochi,77,"wifi, ac, breakfast, parking, waterfront access, heritage decor",https://upload.wikimedia.org/wikipedia/commons/6/6e/Kochi%2C_Fishing_nets_at_sunset%2C_Kerala%2C_India.jpg
H074,Chinese Nets View Hotel - Fort Kochi Waterfront,Kochi,Kerala,3400,standard,4.3,9.9665,76.2406,moderate,Fort Kochi Waterfront,81,"wifi, ac, breakfast, room service, parking, waterfront access, heritage decor",https://upload.wikimedia.org/wikipedia/commons/6/6e/Kochi%2C_Fishing_nets_at_sunset%2C_Kerala%2C_India.jpg
H075,Jew Town Heritage House - Jew Town,Kochi,Kerala,4100,boutique,4.4,9.9573,76.2593,moderate,Jew Town,79,"wifi, cafe, room service, parking, local decor, waterfront access",https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Karl-08a.jpg/500px-Karl-08a.jpg
H076,Mattancherry Palace Inn - Mattancherry,Kochi,Kerala,3600,standard,4.2,9.9586,76.2598,moderate,Mattancherry,73,"wifi, ac, breakfast, room service, parking, waterfront access",https://upload.wikimedia.org/wikipedia/commons/f/fb/Jew_Street_Mattancherry%2C_Fort_Kochi%2C_Ernakulam%2C_Kerala%2C_India_IMG_20190526_150112.jpg
H077,Marine Drive Business Hotel - Marine Drive,Kochi,Kerala,4800,standard,4.4,9.982,76.2754,moderate,Marine Drive,84,"wifi, ac, breakfast, room service, parking, waterfront access",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Musical-walkway.jpg/1280px-Musical-walkway.jpg
H078,Cherai Beach Resort - Cherai,Kochi,Kerala,5900,resort,4.5,10.1432,76.1785,high,Cherai,82,"pool, spa, bar, restaurant, garden, indoor games, waterfront access, beach access",https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Sunrise_at_Cherai_Beach.jpg/3840px-Sunrise_at_Cherai_Beach.jpg
H079,Folklore Boutique Stay - Thevara,Kochi,Kerala,4500,boutique,4.4,9.932,76.2985,moderate,Thevara,75,"wifi, cafe, room service, parking, local decor, waterfront access",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Kochi_Skyline.jpg/960px-Kochi_Skyline.jpg
H080,Backwater Crown Kochi - MG Road Waterfront,Kochi,Kerala,7200,premium,4.6,9.981,76.276,high,MG Road Waterfront,87,"wifi, pool, restaurant, room service, parking, waterfront access",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Kochi_Skyline.jpg/960px-Kochi_Skyline.jpg
H081,Malabar Grand Palace - Fort Kochi Premium Zone,Kochi,Kerala,9800,luxury,4.8,9.9672,76.241,premium,Fort Kochi Premium Zone,89,"spa, pool, bar, restaurant, gym, room service, waterfront access, heritage decor",https://upload.wikimedia.org/wikipedia/commons/6/6e/Kochi%2C_Fishing_nets_at_sunset%2C_Kerala%2C_India.jpg
H082,Taj View Budget Inn - Taj Ganj,Agra,Uttar Pradesh,2100,budget,4.1,27.1755,78.0424,low,Taj Ganj,77,"wifi, ac, breakfast, parking, monument access",https://upload.wikimedia.org/wikipedia/commons/1/1d/Taj_Mahal_%28Edited%29.jpeg
