id,name,city,state,category,tags,rating,price_estimate,duration_hours,latitude,longitude,popularity_score,best_time,family_friendly,foreign_tourist_friendly,description,image_url
P011,Hawa Mahal,Jaipur,Rajasthan,palace,"palace,heritage,photography,old-city",4.6,200,1.5,26.9239,75.8267,96,winter,true,true,"Popular royal palace in Jaipur with royal architecture, heritage appeal, and photo spots.",https://upload.wikimedia.org/wikipedia/commons/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg
P012,City Palace Jaipur,Jaipur,Rajasthan,palace,"palace,museum,heritage,royal",4.7,700,2.5,26.9258,75.8237,95,winter,true,true,"Popular royal palace in Jaipur with royal architecture, local history, and heritage appeal.",https://upload.wikimedia.org/wikipedia/commons/f/fb/20191219_Fort_Amber%2C_Amer%2C_Jaipur_0955_9481.jpg
P013,Amber Fort,Jaipur,Rajasthan,fort,"fort,heritage,viewpoint,architecture",4.7,500,3,26.9855,75.8513,97,winter,true,true,"Popular historic fort in Jaipur with fort architecture, heritage appeal, and panoramic views.",https://upload.wikimedia.org/wikipedia/commons/a/a4/Chandra_Mahal%2C_City_Palace%2C_Jaipur%2C_20191218_0951_9043.jpg
P014,Nahargarh Fort,Jaipur,Rajasthan,fort,"fort,sunrise,viewpoint,heritage",4.6,200,2,26.9368,75.8153,90,winter,true,true,"Popular historic fort in Jaipur with fort architecture, sunrise views, and panoramic views.",https://upload.wikimedia.org/wikipedia/commons/3/3f/Jantar_Mantar_at_Jaipur.jpg
P015,Jal Mahal,Jaipur,Rajasthan,lake,"lake,photography,viewpoint,heritage",4.4,0,1,26.9536,75.8468,82,winter,true,true,"Popular lakeside attraction in Jaipur with lake views, photo spots, and panoramic views.",https://upload.wikimedia.org/wikipedia/commons/4/47/Nahargarh_13.jpg
P016,Jantar Mantar Jaipur,Jaipur,Rajasthan,museum,"museum,heritage,unesco,astronomy",4.6,200,1.5,26.9248,75.8246,87,winter,true,true,"Popular cultural museum in Jaipur with local history, heritage appeal, and UNESCO heritage value.",https://upload.wikimedia.org/wikipedia/commons/1/18/Albert_Hall_%28_Jaipur_%29.jpg
P017,Albert Hall Museum,Jaipur,Rajasthan,museum,"museum,heritage,art,history",4.5,150,1.5,26.9124,75.8196,83,winter,true,true,"Popular cultural museum in Jaipur with local history, heritage appeal, and ART.",https://upload.wikimedia.org/wikipedia/commons/f/ff/Jaipur_03-2016_39_Jal_Mahal_-_Water_Palace.jpg
P018,Johari Bazaar,Jaipur,Rajasthan,market,"market,shopping,jewelry,street-food",4.5,0,2,26.9230,75.8266,88,winter,true,true,"Popular local market in Jaipur with local shopping, shopping, and jewelry.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg/1920px-East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg
P019,Patrika Gate,Jaipur,Rajasthan,heritage,"architecture,photography,heritage,colorful",4.6,0,1,26.8508,75.8046,78,winter,true,true,"Popular heritage landmark in Jaipur with striking architecture, photo spots, and heritage appeal.",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Birla_Mandir_Jaipur_%282022-07%29.jpg/3840px-Birla_Mandir_Jaipur_%282022-07%29.jpg
P020,Jaigarh Fort,Jaipur,Rajasthan,fort,"fort,heritage,cannon,viewpoint",4.5,150,2.5,26.9850,75.8491,84,winter,true,true,"Popular historic fort in Jaipur with fort architecture, heritage appeal, and cannon.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg/1920px-East_facade_Hawa_Mahal_Jaipur_from_ground_level_%28July_2022%29_-_img_01.jpg
P021,City Palace Udaipur,Udaipur,Rajasthan,palace,"palace,heritage,museum,royal",4.8,400,3,24.5767,73.6835,97,winter,true,true,"Popular royal palace in Udaipur with royal architecture, heritage appeal, and local history.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/Udaipur_City_Palace.jpg/1920px-Udaipur_City_Palace.jpg
P022,Lake Pichola,Udaipur,Rajasthan,lake,"lake,boat-ride,sunset,scenic",4.8,400,2.5,24.5755,73.6807,98,winter,true,true,"Popular lakeside attraction in Udaipur with lake views, boat ride, and sunset views.",https://upload.wikimedia.org/wikipedia/commons/d/d2/Udaipur_Lake_India.JPG
P023,Fateh Sagar Lake,Udaipur,Rajasthan,lake,"lake,sunset,boating,viewpoint",4.7,0,2,24.6015,73.6776,91,winter,true,true,"Popular lakeside attraction in Udaipur with lake views, sunset views, and boating experiences.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Monsoon_Palace.jpg/500px-Monsoon_Palace.jpg
P024,Sajjangarh Monsoon Palace,Udaipur,Rajasthan,palace,"palace,sunset,viewpoint,hills",4.6,350,2,24.5925,73.6671,89,winter,true,true,"Popular royal palace in Udaipur with royal architecture, sunset views, and panoramic views.",https://upload.wikimedia.org/wikipedia/commons/e/ed/Jagdish_Temple_Udaipur.jpg
P025,Bagore Ki Haveli,Udaipur,Rajasthan,heritage,"heritage,museum,cultural-show,old-city",4.6,150,2,24.5798,73.6834,87,winter,true,true,"Popular heritage landmark in Udaipur with heritage appeal, local history, and cultural show.",https://upload.wikimedia.org/wikipedia/commons/5/50/Fatehsagar_nehrugarden.jpg
P026,Saheliyon Ki Bari,Udaipur,Rajasthan,nature,"garden,heritage,family,photography",4.4,50,1.5,24.6009,73.6863,79,winter,true,true,"Popular nature retreat in Udaipur with green spaces, heritage appeal, and family outings.",https://upload.wikimedia.org/wikipedia/commons/8/84/Saheliyon-ki-Bari_Fountain.JPG
P027,Jagdish Temple,Udaipur,Rajasthan,temple,"temple,heritage,spiritual,architecture",4.7,0,1,24.5788,73.6832,85,winter,true,true,"Popular sacred temple in Udaipur with spiritual atmosphere, heritage appeal, and striking architecture.",https://upload.wikimedia.org/wikipedia/commons/9/96/Bagore_ki_Haveli%2C_Rajasthan.jpg
P028,Karni Mata Temple Ropeway,Udaipur,Rajasthan,viewpoint,"viewpoint,ropeway,sunset,hills",4.5,160,1.5,24.5714,73.6907,81,winter,true,true,"Popular scenic viewpoint in Udaipur with panoramic views, ropeway, and sunset views.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/KarniMata.jpg/1920px-KarniMata.jpg
P029,Shilpgram,Udaipur,Rajasthan,market,"crafts,culture,market,village-experience",4.4,50,2,24.6224,73.6840,76,winter,true,true,"Popular local market in Udaipur with crafts, cultural experiences, and local shopping.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Mandana_art_work_at_shilpgram.JPG/3840px-Mandana_art_work_at_shilpgram.JPG
P030,Gangaur Ghat,Udaipur,Rajasthan,heritage,"ghat,lake,old-city,photography",4.6,0,1,24.5792,73.6830,83,winter,true,true,"Popular heritage landmark in Udaipur with ghat atmosphere, lake views, and old-city charm.",https://upload.wikimedia.org/wikipedia/commons/5/52/Ahar_Cenotaphs.JPG
P031,Red Fort,Delhi,Delhi,fort,"fort,heritage,unesco,history",4.6,35,2.5,28.6562,77.2410,96,winter,true,true,"Popular historic fort in Delhi with fort architecture, heritage appeal, and UNESCO heritage value.",https://upload.wikimedia.org/wikipedia/commons/0/09/India_Gate_in_New_Delhi_03-2016.jpg
P032,Qutub Minar,Delhi,Delhi,heritage,"heritage,unesco,architecture,history",4.7,35,2,28.5244,77.1855,95,winter,true,true,"Popular heritage landmark in Delhi with heritage appeal, UNESCO heritage value, and striking architecture.",https://upload.wikimedia.org/wikipedia/commons/2/2a/Delhi_fort.jpg
P033,India Gate,Delhi,Delhi,heritage,"monument,heritage,evening,family",4.6,0,1.5,28.6129,77.2295,94,winter,true,true,"Popular heritage landmark in Delhi with monumental design, heritage appeal, and evening.",https://upload.wikimedia.org/wikipedia/commons/3/3c/Qutb_Minar_2022.jpg
P034,Humayun's Tomb,Delhi,Delhi,heritage,"heritage,unesco,gardens,architecture",4.6,40,2,28.5933,77.2507,90,winter,true,true,"Popular heritage landmark in Delhi with heritage appeal, UNESCO heritage value, and gardens.",https://upload.wikimedia.org/wikipedia/commons/f/fc/LotusDelhi.jpg
P035,Lotus Temple,Delhi,Delhi,heritage,"architecture,spiritual,peaceful,landmark",4.5,0,1.5,28.5535,77.2588,88,winter,true,true,"Popular heritage landmark in Delhi with striking architecture, spiritual atmosphere, and peaceful surroundings.",https://upload.wikimedia.org/wikipedia/commons/d/d2/Tomb_of_Humayun%2C_Delhi.jpg
P036,Akshardham,Delhi,Delhi,temple,"temple,cultural,architecture,family",4.7,0,3,28.6127,77.2773,93,winter,true,true,"Popular sacred temple in Delhi with spiritual atmosphere, cultural, and striking architecture.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Swaminarayan_Akshardham%2C_Delhi.jpg/500px-Swaminarayan_Akshardham%2C_Delhi.jpg
P037,Chandni Chowk,Delhi,Delhi,market,"market,street-food,heritage,bazaar",4.5,0,3,28.6506,77.2303,91,winter,true,true,"Popular local market in Delhi with local shopping, street food, and heritage appeal.",https://upload.wikimedia.org/wikipedia/commons/a/a4/Jama_Masjid_-_In_the_Noon.jpg
P038,Lodhi Garden,Delhi,Delhi,nature,"garden,walks,heritage,relaxed",4.6,0,1.5,28.5931,77.2197,82,winter,true,true,"Popular nature retreat in Delhi with green spaces, walks, and heritage appeal.",https://upload.wikimedia.org/wikipedia/commons/thumb/4/40/Jama_Masjid_2011.jpg/1920px-Jama_Masjid_2011.jpg
P039,National Museum Delhi,Delhi,Delhi,museum,"museum,history,culture,art",4.4,20,2,28.6118,77.2196,78,winter,true,true,"Popular cultural museum in Delhi with local history, rich history, and cultural experiences.",https://upload.wikimedia.org/wikipedia/commons/4/45/Lodhi_Gardens_on_a_sunny_day.jpg
P040,Connaught Place,Delhi,Delhi,market,"market,shopping,food,central",4.6,0,2.5,28.6315,77.2167,89,winter,true,true,"Popular local market in Delhi with local shopping, shopping, and local food culture.",https://upload.wikimedia.org/wikipedia/commons/f/f3/Gandhi_Memorial.jpg
P041,Triveni Ghat,Rishikesh,Uttarakhand,heritage,"ghat,spiritual,evening-aarti,ganges",4.7,0,1.5,30.1084,78.2948,92,all,true,true,"Popular heritage landmark in Rishikesh with ghat atmosphere, spiritual atmosphere, and evening aarti.",https://upload.wikimedia.org/wikipedia/commons/7/75/Rishikesh-Lakshman_Jhula_by_Kaustubh_Nayyar.jpg
P042,Lakshman Jhula,Rishikesh,Uttarakhand,heritage,"bridge,landmark,viewpoint,spiritual",4.4,0,1,30.1320,78.3303,86,all,true,true,"Popular heritage landmark in Rishikesh with bridge, landmark, and panoramic views.",https://upload.wikimedia.org/wikipedia/commons/0/08/Triveni_Ghat_Krishna_Arjun_Rath.jpg
P043,Ram Jhula,Rishikesh,Uttarakhand,heritage,"bridge,landmark,walks,ganges",4.5,0,1,30.1210,78.3209,84,all,true,true,"Popular heritage landmark in Rishikesh with bridge, landmark, and walks.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Ramjhula_-_bridge_over_the_Ganga.jpg/500px-Ramjhula_-_bridge_over_the_Ganga.jpg
P044,Parmarth Niketan,Rishikesh,Uttarakhand,temple,"ashram,spiritual,yoga,ganges",4.7,0,2,30.1270,78.3297,89,all,true,true,"Popular sacred temple in Rishikesh with ashram, spiritual atmosphere, and yoga.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Trayambakeshwar_Temple_VK.jpg/3840px-Trayambakeshwar_Temple_VK.jpg
P045,Beatles Ashram,Rishikesh,Uttarakhand,heritage,"ashram,graffiti,culture,forest",4.4,200,2,30.1170,78.3256,83,all,true,true,"Popular heritage landmark in Rishikesh with ashram, graffiti, and cultural experiences.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/Parmarth.jpg/250px-Parmarth.jpg
P046,Neer Garh Waterfall,Rishikesh,Uttarakhand,nature,"waterfall,trekking,nature,scenic",4.5,30,2.5,30.1441,78.3327,85,all,true,true,"Popular nature retreat in Rishikesh with waterfall views, trekking routes, and natural beauty.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Trayambakeshwar_Temple_VK.jpg/3840px-Trayambakeshwar_Temple_VK.jpg
P047,Trayambakeshwar Temple,Rishikesh,Uttarakhand,temple,"temple,spiritual,landmark,river-view",4.6,0,1,30.1318,78.3304,80,all,true,true,"Popular sacred temple in Rishikesh with spiritual atmosphere, landmark, and river view.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/IE_Rajaji.jpg/1280px-IE_Rajaji.jpg
P048,Shivpuri Riverside,Rishikesh,Uttarakhand,nature,"riverside,camping,rafting,scenic",4.7,0,3,30.1205,78.3996,88,all,true,true,"Popular nature retreat in Rishikesh with riverside, camping, and rafting.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/3b/Scindia_cenotaphs%2C_shivpuri.jpg/3840px-Scindia_cenotaphs%2C_shivpuri.jpg
P049,Vashishta Gufa,Rishikesh,Uttarakhand,temple,"cave,spiritual,meditation,quiet",4.6,0,1.5,30.0871,78.3535,76,all,true,true,"Popular sacred temple in Rishikesh with cave, spiritual atmosphere, and meditation.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Trayambakeshwar_Temple_VK.jpg/3840px-Trayambakeshwar_Temple_VK.jpg
P050,Kunjapuri Temple,Rishikesh,Uttarakhand,viewpoint,"sunrise,temple,hills,viewpoint",4.8,0,2.5,30.1238,78.3636,87,winter,true,true,"Popular scenic viewpoint in Rishikesh with sunrise views, spiritual atmosphere, and hill scenery.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Trayambakeshwar_Temple_VK.jpg/3840px-Trayambakeshwar_Temple_VK.jpg
P051,Hadimba Devi Temple,Manali,Himachal Pradesh,temple,"temple,forest,heritage,spiritual",4.7,0,1.5,32.2430,77.1894,92,summer,true,true,"Popular sacred temple in Manali with spiritual atmosphere, forest surroundings, and heritage appeal.",https://upload.wikimedia.org/wikipedia/commons/1/1d/Taj_Mahal_%28Edited%29.jpeg
P052,Solang Valley,Manali,Himachal Pradesh,nature,"valley,adventure,scenic,snow",4.7,0,3,32.3169,77.1557,96,summer,true,true,"Popular nature retreat in Manali with valley, adventure seekers, and scenic.",https://upload.wikimedia.org/wikipedia/commons/7/7e/Agra_03-2016_10_Agra_Fort.jpg
P053,Rohtang Pass Viewpoint,Manali,Himachal Pradesh,viewpoint,"mountains,snow,viewpoint,day-trip",4.8,600,4,32.3715,77.2462,95,summer,true,true,"Popular scenic viewpoint in Manali with mountains, snow views, and panoramic views.",https://upload.wikimedia.org/wikipedia/commons/8/8d/Mehtab_Bagh_facing_Taj_Mahal.JPG
P054,Old Manali,Manali,Himachal Pradesh,market,"cafes,market,walks,backpacker",4.6,0,2.5,32.2438,77.1886,88,summer,true,true,"Popular local market in Manali with cafes, local shopping, and walks.",https://upload.wikimedia.org/wikipedia/commons/b/b5/Fatehput_Sikiri_Buland_Darwaza_gate_2010.jpg
P055,Manu Temple,Manali,Himachal Pradesh,temple,"temple,heritage,old-manali,spiritual",4.5,0,1,32.2458,77.1880,80,summer,true,true,"Popular sacred temple in Manali with spiritual atmosphere, heritage appeal, and old manali.",https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Moti_Masjid%2CAgra.jpg/3840px-Moti_Masjid%2CAgra.jpg
P056,Jogini Waterfall,Manali,Himachal Pradesh,nature,"waterfall,trekking,nature,forest",4.6,0,2.5,32.2717,77.1870,84,summer,true,true,"Popular nature retreat in Manali with waterfall views, trekking routes, and natural beauty.",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Jami_Masjid_-Agra_-Uttar_Pradesh_-IMG_0282.jpg/1920px-Jami_Masjid_-Agra_-Uttar_Pradesh_-IMG_0282.jpg
P057,Mall Road Manali,Manali,Himachal Pradesh,market,"shopping,market,food,central",4.5,0,2,32.2396,77.1887,86,summer,true,true,"Popular local market in Manali with shopping, local shopping, and local food culture.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Akbar%27s_Tomb_in_Sikandra_15.jpg/3840px-Akbar%27s_Tomb_in_Sikandra_15.jpg
P058,Vashisht Hot Springs,Manali,Himachal Pradesh,nature,"hot-springs,relaxation,temple,wellness",4.4,50,1.5,32.2524,77.1873,78,summer,true,true,"Popular nature retreat in Manali with hot springs, relaxation, and spiritual atmosphere.",https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Mariam%27s_Tomb%2C_Sikandra%2C_Agra.JPG/1920px-Mariam%27s_Tomb%2C_Sikandra%2C_Agra.JPG
P059,Himalayan Nyinmapa Monastery,Manali,Himachal Pradesh,heritage,"monastery,culture,spiritual,quiet",4.4,0,1,32.2392,77.1895,72,summer,true,true,"Popular heritage landmark in Manali with monastic calm, cultural experiences, and spiritual atmosphere.",https://upload.wikimedia.org/wikipedia/commons/1/1d/Taj_Mahal_%28Edited%29.jpeg
P060,Nehru Kund,Manali,Himachal Pradesh,nature,"spring,scenic,quick-stop,roadside",4.3,0,1,32.2677,77.1810,70,summer,true,true,"Popular nature retreat in Manali with spring, scenic, and quick stop.",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Chini_ki_Rauza_4.jpg/3840px-Chini_ki_Rauza_4.jpg
P061,Gateway of India,Mumbai,Maharashtra,heritage,"monument,heritage,harbour,iconic",4.6,0,1.5,18.9220,72.8347,97,winter,true,true,"Popular heritage landmark in Mumbai with monumental design, heritage appeal, and harbour.",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Solang_Valley_%2CManali%2C_Himachal_Pardes%2C_India.JPG/3840px-Solang_Valley_%2CManali%2C_Himachal_Pardes%2C_India.JPG
P062,Marine Drive,Mumbai,Maharashtra,heritage,"waterfront,evening,walks,cityscape",4.7,0,2,18.9430,72.8238,96,winter,true,true,"Popular heritage landmark in Mumbai with waterfront, evening, and walks.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg/3840px-%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg
P063,Elephanta Caves,Mumbai,Maharashtra,heritage,"unesco,caves,boat-ride,history",4.5,40,4,18.9633,72.9315,89,winter,true,true,"Popular heritage landmark in Mumbai with UNESCO heritage value, cave exploration, and boat ride.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg/3840px-%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg
P064,Chhatrapati Shivaji Maharaj Terminus,Mumbai,Maharashtra,heritage,"architecture,unesco,railway,iconic",4.6,0,1,18.9402,72.8356,88,winter,true,true,"Popular heritage landmark in Mumbai with striking architecture, UNESCO heritage value, and railway.",https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Buddha_and_Manu_Temples.jpg/1920px-Buddha_and_Manu_Temples.jpg
P065,Juhu Beach,Mumbai,Maharashtra,beach,"beach,food,sunset,family",4.4,0,2.5,19.0990,72.8266,90,winter,true,true,"Popular beach escape in Mumbai with beachfront scenery, local food culture, and sunset views.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg/3840px-%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg
P066,Siddhivinayak Temple,Mumbai,Maharashtra,temple,"temple,spiritual,landmark,devotional",4.7,0,1.5,19.0176,72.8300,91,winter,true,true,"Popular sacred temple in Mumbai with spiritual atmosphere, landmark, and devotional.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg/3840px-%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg
P067,Colaba Causeway,Mumbai,Maharashtra,market,"shopping,street-market,colaba,food",4.5,0,2,18.9217,72.8324,85,winter,true,true,"Popular local market in Mumbai with shopping, street market, and colaba.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg/3840px-%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg
P068,Sanjay Gandhi National Park,Mumbai,Maharashtra,nature,"park,nature,caves,family",4.5,85,3,19.2147,72.9106,82,winter,true,true,"Popular nature retreat in Mumbai with park, natural beauty, and cave exploration.",https://upload.wikimedia.org/wikipedia/commons/thumb/b/be/Naggar_Castle_-_2.jpg/3840px-Naggar_Castle_-_2.jpg
P069,Haji Ali Dargah,Mumbai,Maharashtra,heritage,"dargah,spiritual,sea-link,iconic",4.5,0,1.5,18.9827,72.8089,84,winter,true,true,"Popular heritage landmark in Mumbai with dargah, spiritual atmosphere, and sea link.",https://upload.wikimedia.org/wikipedia/commons/a/a2/Kullu_Valley_from_Rohtang_Pass%2C_India.jpg
P070,Bandra Fort,Mumbai,Maharashtra,fort,"fort,seafront,viewpoint,photography",4.4,0,1.5,19.0417,72.8170,76,winter,true,true,"Popular historic fort in Mumbai with fort architecture, seafront, and panoramic views.",https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg/3840px-%E0%A6%93%E0%A6%B0%E0%A6%B2%E0%A6%BF%E0%A6%B0_%E0%A6%97%E0%A6%97%E0%A6%A8%E0%A6%B0%E0%A7%88%E0%A6%96%E0%A6%BF%E0%A6%95_%E0%A6%A6%E0%A7%83%E0%A6%B6%E0%A7%8D%E0%A6%AF.jpg
